PC1,PC2,PC3,PC4,Tissue,age
-104.22071735622704,46.08293391022881,-22.273209900155656,1.2734593677331376,Cortex,70-79
-99.08243555453254,46.07973982124394,-20.92780614534394,10.379804982022561,Cortex,60-69
-101.06069674902143,46.62669853070777,-23.36362807610804,10.669830789943484,Cortex,60-69
-101.19045287324764,52.9824443336308,-18.325185219399067,-15.479104142962813,Cortex,60-69
-113.70914435558626,45.416096011917794,-14.092221199269687,-15.135085004485646,Cortex,50-59
-78.71738950680711,44.132299649135334,-11.63744639508777,3.6184555863063173,Cortex,50-59
-121.80908987745973,40.84141299999702,-20.005862925171794,-20.372141982441235,Cortex,30-39
-111.62505859613125,41.16220366902241,-20.776456505099304,-3.182693845231504,Cortex,60-69
-104.67344150491652,41.908604701217456,-24.057851347033864,17.27565913815319,Cortex,60-69
-108.26390229931631,47.51750759717439,-18.823226559770163,-9.531252557534032,Cortex,60-69
-102.0293063857866,45.38767312951499,-21.450077653606158,8.147283112348068,Cortex,60-69
-108.1579704719109,43.20316005420174,-19.294744716181366,2.213232420242831,Cortex,50-59
-115.15944086858686,42.07161668607962,-18.657247303449346,-15.18547487770771,Cortex,40-49
-118.36815595313944,43.192072772862446,-16.6670862560852,-19.327165136423318,Cortex,30-39
-109.6842635383478,45.625697997130935,-24.017672301234242,6.307276422868654,Cortex,40-49
-116.03027327290786,41.10383190103576,-19.808826043966302,-10.485185219395422,Cortex,50-59
-105.16695217830619,41.303458321437965,-19.6732750908778,-3.577449317032045,Cortex,50-59
-115.32006826252596,43.28480369750612,-24.240746915028733,-3.4084470457321405,Cortex,50-59
-105.5962689751762,44.738036766272046,-11.201782358693041,-15.491934160184037,Cortex,40-49
-112.24920963904165,45.68275501914207,-24.20670303030099,1.2493100591450252,Cortex,50-59
-112.29026794425029,42.99480950418411,-19.73133841675422,-5.258511465826112,Cortex,40-49
-104.99286064994703,43.346403166047224,-24.58994085639958,8.011458343576153,Cortex,60-69
68.90034036686413,74.36452644325313,38.47457348266315,-21.097751387142033,Lung,60-69
65.0353736189147,70.62756103018478,32.00254330516406,31.087474054875614,Lung,50-59
78.3792134227361,86.28801413959764,42.110343432813785,-31.583174211682977,Lung,60-69
76.73775961082414,78.23100981163607,52.17068955008875,-46.507652674230165,Lung,60-69
62.54521564235946,78.65904220344181,34.60382299846472,47.53638683907822,Lung,30-39
65.12125901473667,68.20598691992083,20.351493794150763,31.655175969912538,Lung,60-69
57.31032091419897,53.3685869779456,36.36821645612143,40.21278714127287,Lung,60-69
63.988232481685266,71.78214043253065,33.85972091803794,3.529134740352542,Lung,40-49
66.21419013862177,57.02200029019234,37.88543406520628,-48.154171859660494,Lung,50-59
65.42206568049629,67.62120340756694,31.79376957318116,0.1901533537894375,Lung,50-59
79.87071689435052,81.65251016766915,45.84728128000167,-20.904149417994613,Lung,50-59
72.24915966212201,67.35462081968163,26.248468194404357,-2.7509638029705146,Lung,60-69
61.93330112271676,62.03676642593301,32.419519840824506,22.48259488138998,Lung,50-59
71.7442437376207,74.55835337544399,39.416504426703455,-10.426233136291751,Lung,40-49
74.86113201096046,86.01661816791623,38.39338682202428,3.5199535487475013,Lung,20-29
74.35058286864141,76.92583637495771,45.51707199280404,-14.059115111444425,Lung,40-49
67.475671913184,70.4311623689003,33.717235421968866,4.804960037394544,Lung,50-59
84.26872361081004,83.56723386274824,42.93183338760234,5.813785043189978,Lung,40-49
72.79053104651788,83.14771641863652,39.934191540830604,2.4071240161235306,Lung,50-59
55.04752716642449,70.66609081304097,24.72998586032622,43.791276170981874,Lung,60-69
65.02223734095406,68.59891893663102,34.505140190913906,36.79816369337446,Lung,60-69
77.40902548695422,85.01580429409216,49.17624770505083,-22.04144291731157,Lung,60-69
76.88463382770215,78.95984173087948,37.30049503049751,7.8929376548823145,Lung,50-59
87.18048789912498,87.90227851194616,45.81734323321754,-45.166751783182825,Lung,50-59
64.26134007321238,65.55606819316216,27.12535073970796,19.688017343993234,Lung,40-49
67.98519537848053,74.43135715860616,44.32383442731873,-4.742826368231633,Lung,70-79
72.91450879763894,67.15395420463116,43.63402797195789,9.212437469505272,Lung,60-69
71.8650586227186,76.41480301658282,32.520193824371916,17.757480858992345,Lung,60-69
78.10066347158495,74.67101485923506,48.40431933526007,-45.04564418454737,Lung,60-69
71.71929704755117,64.64689838975171,44.492359687179466,-9.476145355177334,Lung,50-59
77.39335812091657,66.3977170656389,37.249477818936434,-12.14618331707751,Lung,50-59
61.14412898640501,71.42355235069977,33.04650648565573,5.5304926670880805,Lung,30-39
