PC1,PC2,PC3,PC4,Tissue,age
-59.68160554734806,-9.050748249028238,-32.60902934686272,-47.27728732719184,Lung,60-69
-71.84062497016585,0.2523285337279999,-26.413938511016354,-39.53235212281145,Lung,60-69
-36.76685776254182,-18.213075597755587,-27.549899738870547,-15.898578733823673,Lung,60-69
-63.78078427193196,-1.1532040052968628,-29.545712986151845,-39.02411455722761,Lung,50-59
-53.71469858266996,-18.787358099930408,-28.958364899693855,-24.040959326844437,Lung,60-69
-31.87293093342442,-9.108807132289137,-44.73853382689853,-14.299723271294729,Lung,60-69
-50.82472973038971,0.9762273186675711,-50.09937391729693,-35.34880239318475,Lung,60-69
-61.86179895266271,-12.459106936372857,-28.520012592089444,-24.79183774810394,Lung,50-59
-55.75018914020038,-4.446213910188584,-45.284857449059075,-27.85879406312162,Lung,50-59
-58.24513148687987,-14.142345476266527,-44.17789192746828,-49.81848418460831,Lung,40-49
-71.65653393922405,-9.153889794243046,-26.224889696967868,-45.761735448526316,Lung,50-59
-62.97553524548624,9.729265080065828,-56.065666741737296,-36.52415222863297,Lung,50-59
-52.22940697493184,-5.0946361059234375,-40.701592354736526,-30.407367166412133,Lung,50-59
-43.2660490504015,-13.832639702510354,-34.72161590812289,-24.00330502965844,Lung,50-59
-64.49595022518156,-3.971215549554842,-33.90524938133565,-44.209092964865725,Lung,40-49
35.422108177672946,-29.98797155788683,131.07791409765028,-0.10459669466115211,Muscle,50-59
20.408482477749786,-25.806579159410333,98.27082296352553,-2.350535989249453,Muscle,40-49
21.50027166305859,-37.123999663445076,107.24177142946739,-2.70266839255054,Muscle,50-59
36.62924625244316,-35.03015291725559,122.35606257641287,-6.117706826721315,Muscle,60-69
29.032613122989495,-34.703386602688475,110.1603937304277,-0.29633671173414944,Muscle,60-69
33.92456773119988,-32.66685318990457,123.14013907686298,-5.8347150596238695,Muscle,50-59
20.866237529839726,-39.38729089025794,103.6647644018445,-4.637098078517563,Muscle,60-69
32.87282988971572,-36.73691233131033,126.3136714838923,-8.482280807298672,Muscle,50-59
35.94778127584506,-33.05606912460242,129.3672516386461,-1.5331892042495854,Muscle,50-59
